"ID";"RegioS";"Perioden";"TotaleOppervlakte_1";"TotaalVerkeersterrein_2";"Spoorterrein_3";"Wegverkeersterrein_4";"Vliegveld_5";"TotaalBebouwdTerrein_6";"Woonterrein_7";"TerreinVoorDetailhandelEnHoreca_8";"TerreinVoorOpenbareVoorzieningen_9";"TerreinVoorSociaalCultureleVoorz_10";"Bedrijventerrein_11";"TotaalSemiBebouwdTerrein_12";"Stortplaats_13";"Wrakkenopslagplaats_14";"Begraafplaats_15";"Delfstofwinplaats_16";"Bouwterrein_17";"SemiVerhardOverigTerrein_18";"TotaalRecreatieterrein_19";"ParkEnPlantsoen_20";"Sportterrein_21";"Volkstuin_22";"DagrecreatiefTerrein_23";"VerblijfsrecreatiefTerrein_24";"TotaalAgrarischTerrein_25";"TerreinVoorGlastuinbouw_26";"OverigAgrarischTerrein_27";"TotaalBosEnOpenNatuurlijkTerrein_28";"Bos_29";"OpenDroogNatuurlijkTerrein_30";"OpenNatNatuurlijkTerrein_31";"TotaalBinnenwater_32";"IJsselmeerMarkermeer_33";"AfgeslotenZeearm_34";"RijnEnMaas_35";"Randmeer_36";"Spaarbekken_37";"RecreatiefBinnenwater_38";"BinnenwaterVoorDelfstofwinning_39";"VloeiEnOfSlibveld_40";"OverigBinnenwater_41";"TotaalBuitenwater_42";"WaddenzeeEemsDollard_43";"Oosterschelde_44";"Westerschelde_45";"Noordzee_46"
"1614";"GM0754";"2006JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1615";"GM0754";"2008JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1616";"GM0754";"2010JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1617";"GM0754";"2012JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1618";"GM0754";"2015JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1619";"GM0754";"2017JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1620";"GM0376";"1996JJ00";"    1558";"      58";"       0";"      58";"       0";"     326";"     312";"       2";"       5";"       8";"       0";"       8";"       0";"       0";"       2";"       0";"       0";"       6";"      60";"      29";"      16";"       0";"      14";"       1";"     400";"       0";"     400";"     260";"     147";"      84";"      29";"     445";"";"";"";"     443";"       0";"       0";"       0";"       0";"       2";"";"";"";"";""
"1621";"GM0376";"2000JJ00";"    1558";"      64";"       0";"      64";"       0";"     325";"     311";"       2";"       5";"       8";"       0";"       8";"       0";"       0";"       2";"       0";"       0";"       6";"      56";"      28";"      15";"       0";"      12";"       1";"     396";"       0";"     396";"     264";"     148";"      86";"      29";"     445";"";"";"";"     443";"       0";"       0";"       0";"       0";"       2";"";"";"";"";""
"1622";"GM0376";"2003JJ00";"    1558";"      67";"       0";"      67";"       0";"     331";"     313";"       3";"       5";"      10";"       0";"       3";"       0";"       0";"       2";"       0";"       0";"       1";"      56";"      26";"      16";"       0";"      12";"       1";"     389";"       0";"     389";"     267";"     151";"      87";"      29";"     445";"";"";"";"     443";"       0";"       0";"       0";"       0";"       2";"";"";"";"";""
"1623";"GM0376";"2006JJ00";"    1558";"      60";"       0";"      60";"       0";"     327";"     309";"       3";"       5";"      10";"       0";"       2";"       0";"       0";"       2";"       0";"       0";"       0";"      58";"      28";"      17";"       0";"      11";"       2";"     399";"       0";"     399";"     267";"     144";"      90";"      33";"     445";"";"";"";"     443";"       0";"       0";"       0";"       0";"       2";"";"";"";"";""
"1624";"GM0376";"2008JJ00";"    1558";"      61";"       0";"      61";"       0";"     329";"     308";"       7";"       5";"       9";"       1";"      16";"       0";"       0";"       2";"       0";"      14";"       1";"      55";"      27";"      15";"       0";"      11";"       2";"     384";"       0";"     384";"     267";"     144";"      91";"      32";"     445";"";"";"";"     443";"       0";"       0";"       0";"       0";"       2";"";"";"";"";""
"1625";"GM0376";"2010JJ00";"    1558";"      61";"       0";"      61";"       0";"     329";"     308";"       7";"       5";"       9";"       1";"      71";"       0";"       0";"       2";"       0";"      69";"       0";"      54";"      26";"      15";"       0";"      11";"       2";"     331";"       0";"     331";"     270";"     150";"     100";"      21";"     441";"";"";"";"     439";"       0";"       0";"       0";"       0";"       2";"";"";"";"";""
"1626";"GM0376";"2012JJ00";"    1556";"      60";"       0";"      60";"       0";"     330";"     309";"       7";"       5";"       9";"       1";"      72";"       0";"       0";"       2";"       0";"      70";"       0";"      54";"      26";"      15";"       0";"      11";"       2";"     329";"       0";"     329";"     270";"     152";"      99";"      19";"     441";"";"";"";"     439";"       0";"       0";"       0";"       0";"       2";"";"";"";"";""
"1627";"GM0376";"2015JJ00";"    1556";"      57";"       0";"      57";"       0";"     334";"     312";"       7";"       5";"       9";"       1";"      70";"       0";"       0";"       2";"       0";"      68";"       0";"      56";"      28";"      15";"       0";"      11";"       2";"     329";"       0";"     329";"     265";"     150";"      94";"      21";"     445";"";"";"";"     443";"       0";"       0";"       0";"       0";"       2";"";"";"";"";""
